%SAFE,Home Page Header Level 1,Home Page Cat Boxes,Dropdown level 2,Dropdown Level 3,Misc 
.beachwear.beach-swimwear.rashguard.girls-rash-guard,Beach Wear,Beach Wear,Rashguard,Girls Rash Guards,
.beachwear.beach-swimwear.rashguard.kids-rash-guard,Beach Wear,Beach Wear,Rashguard,Kids / Baby Rash Guards,
.beachwear.beach-swimwear.rashguard.rashguards,Beach Wear,Beach Wear,Rashguard,Boys Rash Guards,
.beachwear.sun-dresses-women,Beach Wear,Beach Wear,Womens Sundresses,,
.beachwear.sun-dresses-women.beach-dresses,Beach Wear,Beach Wear,Womens Sundresses,Casual,
.beachwear.sun-dresses-women.body-slimming,Beach Wear,Beach Wear,Womens Sundresses,Body Slimming,
.beachwear.sun-dresses-women.evening,Beach Wear,Beach Wear,Womens Sundresses,Evening,
.beachwear.swimwear-women.bathing-suits,Beach Wear,Beach Wear,Women Swimwear,Monokinis,
.beachwear.swimwear-women.bikini-two-piece,Beach Wear,Beach Wear,Women Swimwear,Two Piece Bikinis,
.beachwear.swimwear-women.cover-ups,Beach Wear,Beach Wear,Women Swimwear,Cover ups,
.beachwear.swimwear-women.monokinis-tankinis,Beach Wear,Beach Wear,Women Swimwear,Tankinis,
.beachwear.swimwear-women.one-piece-swimsuits,Beach Wear,Beach Wear,Women Swimwear,One Piece,
.beachwear.swimwear-women.plus-size-swimsuits,Beach Wear,Beach Wear,Women Swimwear,Plus Size,
.buyer_guides.adirondack-chairs,,,,,
.buyer_guides.backpack-beach-chairs,,,,,
.buyer_guides.beach-bags-beach-totes,,,,,
.buyer_guides.beach-cabanas,,,,,
.buyer_guides.beach-carts,,,,,
.buyer_guides.beach-chairs,,,,,
.buyer_guides.beach-tents,,,,,
.buyer_guides.beach-umbrellas,,,,,
.buyer_guides.beach-wear,,,,,
.buyer_guides.bodyboards-body-board,,,,,
.buyer_guides.lafuma-chairs-recliners,,,,,
.buyer_guides.market-umbrellas,,,,,
.buyer_guides.outdoor-umbrellas,,,,,
.buyer_guides.picnic-backpacks,,,,,
.buyer_guides.picnic-baskets,,,,,
.buyer_guides.picnic-blankets,,,,,
.buyer_guides.picnic-cooler-beach-coolers,,,,,
.buyer_guides.skimboards-skim-board,,,,,
.buyer_guides.umbrella-stands-bases,,,,,
